No.,Name,Type,Zone,Date From,Date To,From,Dep,To,Arr,Duration,Halts,Dep Days,Classes,Distance,Speed,Return
22504,Dibrugarh - Kanniyakumari Vivek SF Express (PT),SF,NFR,,,DBRG,19:35,CAPE,21:55,74h 20m,57,SMTWTFS,SL 3A 2A,4155 km,56 km/hr,22503
22503,Kanniyakumari - Dibrugarh Vivek SF Express (PT),SF,NFR,,,CAPE,17:25,DBRG,21:00,75h 35m,57,SMTWTFS,SL 3A 2A,4154 km,55 km/hr,22504
12507,Aronai Express (PT),SF,NFR,,,TVC,16:55,SCL,16:15,71h 20m,55,SMTWTFS,SL 3A 2A 3E,3916 km,55 km/hr,12508
12508,Aronai Express (PT),SF,NFR,,,SCL,19:30,TVC,20:45,73h 15m,54,SMTWTFS,SL 3A 2A 3E,3916 km,53 km/hr,12507
16318,Himsagar Express (PT),Exp,SR,,,SVDK,22:30,CAPE,23:05,72h 35m,67,SMTWTFS,SL 3A 2A 3E,3789 km,52 km/hr,16317
16317,Himsagar Express (PT),Exp,SR,,,CAPE,14:15,SVDK,10:45,68h 30m,63,SMTWTFS,SL 3A 2A 3E,3789 km,55 km/hr,16318
16788,Shri Mata Vaishno Devi Katra - Tirunelveli Express (PT),Exp,SR,,,SVDK,22:30,TEN,18:45,68h 15m,60,SMTWTFS,SL 3A 2A 3E,3633 km,53 km/hr,16787
16787,Tirunelveli - Shri Mata Vaishno Devi Katra Express (PT),Exp,SR,,,TEN,17:40,SVDK,10:45,65h 5m,57,SMTWTFS,SL 3A 2A 3E,3633 km,56 km/hr,16788
12504,Agartala - SMVT Bengaluru Humsafar Express (PT),Hms,NFR,,,AGTL,05:30,SMVB,20:10,62h 40m,30,SMTWTFS,3A,3555 km,57 km/hr,12503
12503,SMVT Bengaluru - Agartala Humsafar Express (PT),Hms,NFR,,,SMVB,10:15,AGTL,02:45,64h 30m,30,SMTWTFS,3A,3555 km,55 km/hr,12504
22502,New Tinsukia - SMVT Bengaluru SF Express (PT),SF,NFR,,,NTSK,17:40,SMVB,09:45,64h 5m,37,SMTWTFS,SL 3A 2A 1A 3E,3544 km,55 km/hr,22501
20498,Firozpur Cantt. - Rameswaram Humsafar Express,Hms,NR,,,FZR,05:55,RMM,20:35,62h 40m,42,SMTWTFS,SL 3A,3544 km,57 km/hr,20497
20497,Rameswaram - Firozpur Cantt. Humsafar Express,Hms,NR,,,RMM,22:50,FZR,13:30,62h 40m,42,SMTWTFS,SL 3A,3544 km,57 km/hr,20498
22501,SMVT Bengaluru - New Tinsukia SF Express (PT),SF,NFR,,,SMVB,03:10,NTSK,16:25,61h 15m,39,SMTWTFS,SL 3A 2A 1A 3E,3544 km,58 km/hr,22502
12516,Silchar - Coimbatore Express (PT),SF,NFR,,,SCL,19:30,CBE,11:55,64h 25m,43,SMTWTFS,SL 3A 2A 3E,3493 km,54 km/hr,12515
12515,Coimbatore - Silchar Express (PT),SF,NFR,,,CBE,22:00,SCL,15:55,65h 55m,44,SMTWTFS,SL 3A 2A 3E,3493 km,53 km/hr,12516
12521,Barauni - Ernakulam Junction. Rapti Sagar Express (PT),SF,ECR,,,BJU,22:50,ERS,11:30,60h 40m,58,SMTWTFS,SL 3A 2A 1A 3E,3434 km,57 km/hr,12522
12522,Ernakulam Junction. - Barauni Rapti Sagar Express (PT),SF,ECR,,,ERS,10:50,BJU,00:05,61h 15m,57,SMTWTFS,SL 3A 2A 1A 3E,3434 km,56 km/hr,12521
12484,Amritsar - Thiruvananthapuram North (Kochuveli) Weekly SF Express,SF,NR,,,ASR,05:55,TVCN,12:30,54h 35m,26,SMTWTFS,SL 3A 2A 1A,3292 km,60 km/hr,12483
12483,Thiruvananthapuram North (Kochuveli) - Amritsar SF Express (PT),SF,NR,,,TVCN,09:10,ASR,13:50,52h 40m,26,SMTWTFS,SL 3A 2A 1A,3292 km,63 km/hr,12484
12512,Thiruvananthapuram North (Kochuveli) - Gorakhpur Rapti Sagar SF Express (PT),SF,NER,,,TVCN,06:35,GKP,15:20,56h 45m,57,SMTWTFS,SL 3A 2A 1A,3236 km,57 km/hr,12511
12511,Gorakhpur - Thiruvananthapuram North (Kochuveli) Rapti Sagar SF Express (PT),SF,NER,,,GKP,06:40,TVCN,15:40,57h 0m,58,SMTWTFS,SL 3A 2A 1A,3236 km,57 km/hr,12512
15636,Guwahati - Okha Dwarka Express (PT),Exp,NFR,,,GHY,10:45,OKHA,23:05,60h 20m,41,SMTWTFS,SL 3A 2A,3226 km,53 km/hr,15635
15635,Okha - Guwahati Dwarka Express (PT),Exp,NFR,,,OKHA,12:15,GHY,06:10,65h 55m,41,SMTWTFS,SL 3A 2A,3226 km,49 km/hr,15636
15930,New Tinsukia - Tambaram Express (PT),Exp,NFR,,,NTSK,06:30,TBM,21:25,62h 55m,40,SMTWTFS,SL 3A 2A 1A 3E,3217 km,51 km/hr,15929
15929,Tambaram - New Tinsukia Express (PT),Exp,NFR,,,TBM,18:40,NTSK,07:10,60h 30m,40,SMTWTFS,SL 3A 2A 1A 3E,3217 km,53 km/hr,15930
16733,Rameswaram - Okha Weekly Express (PT),Exp,SR,,,RMM,22:30,OKHA,10:20,59h 50m,44,SMTWTFS,SL 3A 2A,3153 km,53 km/hr,16734
16734,Okha - Rameswaram Express (PT),Exp,SR,,,OKHA,08:40,RMM,19:10,58h 30m,46,SMTWTFS,SL 3A 2A,3153 km,54 km/hr,16733
12520,Agartala - Mumbai LTT AC SF Express (PT),ACSF,NFR,,,AGTL,07:20,LTT,16:15,56h 55m,36,SMTWTFS,3A 2A 1A,3127 km,55 km/hr,12519
15945,Mumbai LTT - Dibrugarh Express (PT),Exp,NFR,,,LTT,08:05,DBRG,20:20,60h 15m,51,SMTWTFS,SL 3A 2A,3127 km,52 km/hr,15946
15946,Dibrugarh - Mumbai LTT Express (PT),Exp,NFR,,,DBRG,05:20,LTT,17:50,60h 30m,53,SMTWTFS,SL 3A 2A,3127 km,52 km/hr,15945
12519,Mumbai LTT - Agartala AC SF Express (PT),ACSF,NFR,,,LTT,07:50,AGTL,17:50,58h 0m,38,SMTWTFS,3A 2A 1A,3127 km,54 km/hr,12520
15667,Gandhidham - Kamakhya Express (PT),Exp,NFR,,,GIMB,14:05,KYQ,05:30,63h 25m,33,SMTWTFS,SL 3A 2A 1A,3123 km,49 km/hr,15668
